name,category,color,style,season,suitable_temperature_min,suitable_temperature_max
白色T恤,top,white,casual,summer,20,35
蓝色牛仔裤,bottom,blue,casual,all,10,30
黑色西装外套,outerwear,black,formal,autumn,5,20
红色连衣裙,dress,red,elegant,spring,15,28
运动鞋,shoes,white,sporty,all,-10,35
灰色卫衣,top,gray,casual,autumn,10,20
黑色休闲裤,bottom,black,casual,all,10,30
羽绒服,outerwear,black,casual,winter,-15,10
粉色连衣裙,dress,pink,elegant,summer,20,35
皮鞋,shoes,brown,formal,all,5,30
白色衬衫,top,white,formal,spring,15,28
藏青色西裤,bottom,navy,formal,all,10,30
运动外套,outerwear,gray,sporty,autumn,8,20
运动T恤,top,red,sporty,summer,20,35
瑜伽裤,bottom,black,sporty,all,15,35
风衣,outerwear,beige,elegant,spring,10,20
毛衣,top,gray,casual,winter,0,15
围巾,accessory,red,elegant,winter,-10,10
帽子,accessory,black,casual,all,-10,35
手链,accessory,gold,elegant,all,10,35
