month,season,style
1,winter,japanese
1,winter,business
1,winter,japanese
1,winter,street
1,winter,casual
1,winter,korean
1,winter,japanese
1,winter,japanese
1,winter,elegant
1,winter,business
1,winter,sporty
1,winter,korean
1,winter,business
1,winter,japanese
1,winter,business
1,winter,elegant
1,winter,business
1,winter,casual
1,winter,japanese
1,winter,business
1,winter,japanese
1,winter,sporty
1,winter,korean
1,winter,japanese
1,winter,japanese
1,winter,elegant
1,winter,business
1,winter,casual
1,winter,elegant
1,winter,street
1,winter,sweet
1,winter,korean
1,winter,elegant
1,winter,sporty
1,winter,business
1,winter,elegant
1,winter,elegant
1,winter,business
1,winter,elegant
1,winter,business
2,winter,business
2,winter,japanese
2,winter,street
2,winter,elegant
2,winter,japanese
2,winter,japanese
2,winter,business
2,winter,elegant
2,winter,street
2,winter,elegant
2,winter,elegant
2,winter,casual
2,winter,japanese
2,winter,business
2,winter,street
2,winter,japanese
2,winter,business
2,winter,business
2,winter,elegant
2,winter,elegant
2,winter,business
2,winter,business
2,winter,business
2,winter,japanese
2,winter,business
2,winter,business
2,winter,business
2,winter,elegant
2,winter,casual
2,winter,business
2,winter,elegant
2,winter,business
2,winter,japanese
2,winter,elegant
2,winter,casual
2,winter,elegant
2,winter,elegant
2,winter,business
2,winter,business
2,winter,japanese
3,spring,sweet
3,spring,sporty
3,spring,japanese
3,spring,casual
3,spring,casual
3,spring,casual
3,spring,japanese
3,spring,street
3,spring,casual
3,spring,sweet
3,spring,casual
3,spring,sweet
3,spring,street
3,spring,sporty
3,spring,elegant
3,spring,sweet
3,spring,elegant
3,spring,casual
3,spring,casual
3,spring,korean
3,spring,korean
3,spring,sweet
3,spring,casual
3,spring,korean
3,spring,japanese
3,spring,japanese
3,spring,street
3,spring,casual
3,spring,casual
3,spring,korean
3,spring,street
3,spring,casual
3,spring,elegant
3,spring,sweet
3,spring,casual
3,spring,japanese
3,spring,japanese
3,spring,japanese
3,spring,street
3,spring,sweet
4,spring,sweet
4,spring,sweet
4,spring,casual
4,spring,business
4,spring,casual
4,spring,sweet
4,spring,elegant
4,spring,casual
4,spring,casual
4,spring,sweet
4,spring,casual
4,spring,korean
4,spring,sweet
4,spring,elegant
4,spring,sweet
4,spring,casual
4,spring,korean
4,spring,sweet
4,spring,japanese
4,spring,casual
4,spring,sweet
4,spring,sweet
4,spring,korean
4,spring,sweet
4,spring,street
4,spring,casual
4,spring,elegant
4,spring,sweet
4,spring,street
4,spring,casual
4,spring,japanese
4,spring,korean
4,spring,casual
4,spring,sweet
4,spring,casual
4,spring,sweet
4,spring,elegant
4,spring,sweet
4,spring,japanese
4,spring,japanese
5,spring,casual
5,spring,korean
5,spring,casual
5,spring,casual
5,spring,sweet
5,spring,elegant
5,spring,japanese
5,spring,japanese
5,spring,elegant
5,spring,korean
5,spring,elegant
5,spring,sweet
5,spring,casual
5,spring,korean
5,spring,casual
5,spring,casual
5,spring,street
5,spring,korean
5,spring,korean
5,spring,japanese
5,spring,korean
5,spring,korean
5,spring,sweet
5,spring,elegant
5,spring,japanese
5,spring,sweet
5,spring,elegant
5,spring,casual
5,spring,japanese
5,spring,casual
5,spring,korean
5,spring,casual
5,spring,casual
5,spring,japanese
5,spring,casual
5,spring,casual
5,spring,sweet
5,spring,japanese
5,spring,casual
5,spring,elegant
6,summer,sweet
6,summer,korean
6,summer,sporty
6,summer,casual
6,summer,casual
6,summer,casual
6,summer,casual
6,summer,sweet
6,summer,casual
6,summer,sporty
6,summer,sweet
6,summer,street
6,summer,casual
6,summer,japanese
6,summer,sweet
6,summer,sweet
6,summer,casual
6,summer,casual
6,summer,korean
6,summer,sporty
6,summer,sporty
6,summer,sporty
6,summer,sweet
6,summer,korean
6,summer,elegant
6,summer,korean
6,summer,casual
6,summer,street
6,summer,sweet
6,summer,casual
6,summer,casual
6,summer,sporty
6,summer,korean
6,summer,street
6,summer,korean
6,summer,japanese
6,summer,sporty
6,summer,sweet
6,summer,casual
6,summer,casual
7,summer,japanese
7,summer,sweet
7,summer,casual
7,summer,business
7,summer,street
7,summer,korean
7,summer,street
7,summer,sporty
7,summer,sporty
7,summer,sporty
7,summer,sweet
7,summer,korean
7,summer,sporty
7,summer,casual
7,summer,casual
7,summer,sweet
7,summer,japanese
7,summer,casual
7,summer,casual
7,summer,street
7,summer,casual
7,summer,japanese
7,summer,sporty
7,summer,casual
7,summer,korean
7,summer,casual
7,summer,elegant
7,summer,casual
7,summer,casual
7,summer,casual
7,summer,casual
7,summer,casual
7,summer,casual
7,summer,street
7,summer,sweet
7,summer,sporty
7,summer,sporty
7,summer,sporty
7,summer,korean
7,summer,korean
8,summer,casual
8,summer,casual
8,summer,casual
8,summer,casual
8,summer,street
8,summer,sporty
8,summer,casual
8,summer,sporty
8,summer,business
8,summer,casual
8,summer,japanese
8,summer,casual
8,summer,korean
8,summer,casual
8,summer,japanese
8,summer,korean
8,summer,korean
8,summer,japanese
8,summer,sweet
8,summer,sweet
8,summer,sweet
8,summer,casual
8,summer,business
8,summer,business
8,summer,korean
8,summer,sporty
8,summer,sporty
8,summer,sweet
8,summer,elegant
8,summer,casual
8,summer,sporty
8,summer,sporty
8,summer,casual
8,summer,sporty
8,summer,sporty
8,summer,sporty
8,summer,sporty
8,summer,sweet
8,summer,sporty
8,summer,korean
9,autumn,japanese
9,autumn,business
9,autumn,business
9,autumn,business
9,autumn,japanese
9,autumn,street
9,autumn,japanese
9,autumn,business
9,autumn,street
9,autumn,sporty
9,autumn,street
9,autumn,elegant
9,autumn,street
9,autumn,japanese
9,autumn,elegant
9,autumn,street
9,autumn,casual
9,autumn,street
9,autumn,casual
9,autumn,korean
9,autumn,elegant
9,autumn,korean
9,autumn,japanese
9,autumn,street
9,autumn,sweet
9,autumn,sweet
9,autumn,korean
9,autumn,elegant
9,autumn,street
9,autumn,casual
9,autumn,street
9,autumn,elegant
9,autumn,business
9,autumn,street
9,autumn,business
9,autumn,business
9,autumn,street
9,autumn,sweet
9,autumn,business
9,autumn,street
10,autumn,korean
10,autumn,elegant
10,autumn,elegant
10,autumn,casual
10,autumn,street
10,autumn,business
10,autumn,sweet
10,autumn,street
10,autumn,business
10,autumn,japanese
10,autumn,street
10,autumn,elegant
10,autumn,business
10,autumn,sporty
10,autumn,elegant
10,autumn,elegant
10,autumn,korean
10,autumn,business
10,autumn,business
10,autumn,street
10,autumn,business
10,autumn,korean
10,autumn,sweet
10,autumn,business
10,autumn,business
10,autumn,korean
10,autumn,street
10,autumn,korean
10,autumn,elegant
10,autumn,japanese
10,autumn,street
10,autumn,elegant
10,autumn,street
10,autumn,street
10,autumn,casual
10,autumn,business
10,autumn,japanese
10,autumn,sporty
10,autumn,business
10,autumn,business
11,autumn,sporty
11,autumn,japanese
11,autumn,sweet
11,autumn,elegant
11,autumn,korean
11,autumn,japanese
11,autumn,sporty
11,autumn,japanese
11,autumn,elegant
11,autumn,korean
11,autumn,street
11,autumn,street
11,autumn,casual
11,autumn,japanese
11,autumn,casual
11,autumn,elegant
11,autumn,elegant
11,autumn,sweet
11,autumn,elegant
11,autumn,japanese
11,autumn,street
11,autumn,casual
11,autumn,casual
11,autumn,casual
11,autumn,street
11,autumn,japanese
11,autumn,elegant
11,autumn,japanese
11,autumn,casual
11,autumn,japanese
11,autumn,korean
11,autumn,sweet
11,autumn,street
11,autumn,japanese
11,autumn,casual
11,autumn,elegant
11,autumn,elegant
11,autumn,business
11,autumn,street
11,autumn,street
12,winter,japanese
12,winter,elegant
12,winter,sweet
12,winter,elegant
12,winter,elegant
12,winter,street
12,winter,korean
12,winter,business
12,winter,casual
12,winter,business
12,winter,casual
12,winter,japanese
12,winter,street
12,winter,elegant
12,winter,casual
12,winter,elegant
12,winter,korean
12,winter,business
12,winter,japanese
12,winter,business
12,winter,business
12,winter,elegant
12,winter,korean
12,winter,elegant
12,winter,business
12,winter,street
12,winter,business
12,winter,korean
12,winter,elegant
12,winter,business
12,winter,business
12,winter,business
12,winter,elegant
12,winter,elegant
12,winter,elegant
12,winter,elegant
12,winter,business
12,winter,business
12,winter,business
12,winter,business
